podName,nodeName,imageName,podStartTime,pullingTime,pulledTime,pullImageTotalTime
imagepullns/multi100m200testff4tv-c8cddd78f-6fjfw,cnnorth1a-pod16-common001-cna068,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,2019-01-18 18:29:54,2019-01-18 18:29:54,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-28z6c,cnnorth1a-pod16-common001-cna065,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:04,2019-01-18 18:29:07,3000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-b864t,cnnorth1a-pod16-common001-cna041,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:30:30,2019-01-18 18:30:30,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-nhfb9,cnnorth1a-pod16-common001-cna054,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:49,2019-01-18 18:29:51,2000
imagepullns/multi100m200testbjmzl-5fd7448897-7dkn5,cnnorth1a-pod16-common001-cna069,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,2019-01-18 18:29:30,2019-01-18 18:29:31,1000
imagepullns/multi100m200testbjmzl-5fd7448897-9xkpr,cnnorth1a-pod16-common001-cna057,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,2019-01-18 18:29:28,2019-01-18 18:29:29,1000
imagepullns/multi100m200testbjmzl-5fd7448897-fhzg9,cnnorth1a-pod16-common001-cna014,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,2019-01-18 18:29:31,2019-01-18 18:29:31,0
imagepullns/multi100m200testbjmzl-5fd7448897-n288d,cnnorth1a-pod16-common001-cna023,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,2019-01-18 18:29:31,2019-01-18 18:29:31,0
imagepullns/multi100m200testff4tv-c8cddd78f-kcc74,cnnorth1a-pod16-common001-cna062,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-dbb9g,cnnorth1a-pod16-common001-cna072,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:07,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testbjmzl-5fd7448897-fb6dx,cnnorth1a-pod16-common001-cna045,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:05,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-96klt,cnnorth1a-pod16-common001-cna060,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:06,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-cdqgw,cnnorth1a-pod16-common001-cna064,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testff4tv-c8cddd78f-f4spk,cnnorth1a-pod16-common001-cna066,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:10,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-6q84j,cnnorth1a-pod16-common001-cna066,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:08,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-7npxc,cnnorth1a-pod16-common001-cna056,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:09,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-8wtlf,cnnorth1a-pod16-common001-cna002,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:05,2019-01-18 18:29:07,2000
imagepullns/multi100m200testbjmzl-5fd7448897-vlqxr,cnnorth1a-pod16-common001-cna013,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:04,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-dgmwp,cnnorth1a-pod16-common001-cna063,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-v9729,cnnorth1a-pod16-common001-cna065,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200testrzcfg-84b684d749-5f7zj,cnnorth1a-pod16-common001-cna041,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:11,2019-01-18 18:29:13,2019-01-18 18:29:15,2000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-2jbfr,cnnorth1a-pod16-common001-cna053,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:30:29,2019-01-18 18:30:32,3000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-fkd5l,cnnorth1a-pod16-common001-cna063,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,0001-01-01 00:00:00,0001-01-01 00:00:00,0
imagepullns/multi100m200test4b6mp-6b6c94d6b9-nwr5r,cnnorth1a-pod16-common001-cna045,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:47,2019-01-18 18:29:50,3000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-pbnc2,cnnorth1a-pod16-common001-cna044,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:05,2019-01-18 18:29:09,4000
imagepullns/multi100m200test4b6mp-6b6c94d6b9-qgxxj,cnnorth1a-pod16-common001-cna052,100.125.0.198:20202/image-pull-test/myimage_33g:latest,2019-01-18 18:29:03,2019-01-18 18:29:04,2019-01-18 18:29:08,4000
